NIMY,DEPINS,LNATRES,BKCLASS,ELNATR,ROAQ,INTINC,LNAG,ROEQ,NTLNLS,NTRTMLGJ,LNRECONSR,ERNASTR,LNRE,P3LNLS,NCLNLSR,IGLSEC,LNLSNET,ROA,DEPDOM,RISDATE,ROE,VOLIAB,EQV,NETINC,EQ,BROR,LNLSDEPR,NTLNLSR,DEPUNINS,COREDEPR,LNATRESR,LNREMULT,P9LNLS,CHBAL,FREPP,CERT,STALP,LNRECONS,EINTEXP,LNREMULTR,COREDEP,REPDTE,RBC1AAJ,LNCI,ELNATRYQ,SC,LNRENRESR,OTHBOR,NCLNLS,SCAF,SCAA,DEPDASTR,REGAGNT,NIMYQ,RSLNLS,SCHF,NUMEMP,ELNATRY,ASSET,NONIX,VOLIABR,NALNLS,DEP,SCHA,RBCRWAJ,NTLNLSQR,P9ASSET,NAMEFULL,LNAGR,P3ASSET,LNRENRES,RSLNLSR,NONII,LIAB,BRO,OTHBFHLB,EQTOT,ID
4.1881733053697285,168452,1890,NM,-67,1.78,3662,23098,14.69,12,2893,0.6461684755141083,93.57,167056,438,0.3665247006792862,9,212011,1.7839079431966154,227009,20260331,14.69,2893,12.203823849831345,1197,32598,0.7509930254236971,93.39321348492791,0.022362974368770105,58712,83.15207421578134,0.8835863319947078,0,0,10185,0,10127,IA,1726,1031,0,222110,20260331,12.7150639328138,21666,-0.1,32157,6.919917787603,5012,784,32157,33224,84.99,FDIC,4.19,0,0,28,-0.1,267113,1623,1.083062224601573,784,227009,0,0,0.02,0,SUCCESS BANK,8.64727662075601,438,18484,0,153,234515,2006,5012,32598,10127_20260331
3.8714942080147594,90017,1007,NM,20,2.02,1952,23544,19.96,0,19194,2.637940453428025,96.55,84172,741,0.9566195610224744,0,120776,2.019691306991712,117570,20260331,19.96,24194,10.338705271783667,739,15140,3.414367659109533,102.7268861104023,0,28031,63.76399890740235,0.8268805990983964,6870,562,10703,0,10132,IA,3863,588,4.6913411636164986,93376,20260331,10.866945392606358,9675,0.05,11940,12.45356459983611,13000,1165,11940,12994,80.29,FDIC,3.87,0,0,12,0.05,146440,590,16.521442228899208,603,117570,0,0,0,562,EXCHANGE STATE BANK,16.07757443321497,741,18237,0,15,131300,5000,13000,15140,10132_20260331
4.328156665834215,192982,2143,NM,50,0.68,2966,574,6.6,58,6830,2.4198038284563363,93.46,113089,5297,3.4014323208609754,0,149499,0.6803597238491842,219150,20260331,6.6,6830,9.983379456025151,416,24387,0,68.217659137577,0.1542512167229595,26386,86.91807627437817,1.4131968715791139,1251,3015,11773,0,10137,KY,5911,518,0.5121256283875616,212320,20260331,10.862071809080863,15849,0.08,73158,16.487907121452782,0,5158,73158,75791,89.71,FDIC,4.33,0,0,48,0.08,244276,2179,2.7960176194141053,2143,219150,0,18.67781496818236,0.15,3015,THE COMMERCIAL BANK OF GRAYSON,0.2349801044719907,5297,40276,0,344,219889,0,0,24387,10137_20260331
4.892020913844056,14618,1014,NM,0,2.45,287,8,7.74,0,700,0,93.69,8061,0,0,0,17363,2.448393769259994,16109,20260331,7.74,700,31.54035248531311,145,7570,0,107.78446830964057,0,1813,64.20149160451648,5.517766773684497,0,0,4326,0,10145,KY,0,18,0,15409,20260331,31.970605625475123,10189,0,976,32.37781759093371,0,0,0,0,67.12,FDIC,4.89,0,956,6,0,24001,141,2.9165451439523356,0,16109,971,39.89801121876593,0,0,HART COUNTY BANK AND TRUST COMPANY,0.0333319445023124,0,7771,0,17,16431,0,0,7570,10145_20260331
3.7627840747854977,2547289,35496,SM,0,1.3,53265,17033,11.26,54,311802,2.6705377968080257,90.12,2536005,28808,0.9318227906375395,-237,2957777,1.2998496571482867,3671307,20260331,11.26,476802,11.595080819596197,14296,509156,2.354309976138304,80.5646871808868,0.007173111591200385,1125442,74.15216738804384,1.1858590913692135,135580,0,84201,0,1014,MI,117267,15972,3.0875823078208886,3256124,20260331,9.168435304622156,351561,0,964274,33.13981478149856,184819,27892,573531,628377,83.61,FED,3.76,32,345440,561,0,4391138,25600,10.858278651228908,27892,3671307,384339,12.887885373221064,0.01,0,CHOICEONE BANK,0.38789489193917387,28808,1455215,7.287404768422217e-4,5976,3881982,103381,184819,509156,1014_20260331
3.719953088113776,280514,2527,NM,75,0.8,4360,6615,9.88,29,10442,3.5334470710826884,93.71,193454,582,0.010086977253866293,0,215576,0.8027571620990557,346438,20260331,9.88,21896,8.054011809656132,780,31535,0,62.226430126025434,0.05340712110294913,66053,85.81308869501257,1.1586268872963692,5718,22,21401,11454,10157,MI,13835,978,1.460372269783217,335996,20260331,9.073232290714294,14168,0.08,133567,27.08558935905032,0,22,133567,139522,88.48,FDIC,3.72,1482,0,80,0.08,391544,3147,5.592219520666898,0,346438,0,14.479042834681904,0.05,22,THE SHELBY STATE BANK,1.6894652963651595,582,106052,0.3785015221788611,797,360009,0,0,31535,10157_20260331
3.4236842961137013,254892,3874,NM,62,1.61,5643,0,19.65,-1,50143,5.165370847682175,93.95,256920,376,0,0,306791,1.6148915709607587,429334,20260331,19.65,50143,8.235209192317654,1906,38788,1.0615666175515177,71.45742009717377,-0.0013050081318319215,175369,79.445734837644,1.2470023980815348,13693,0,58112,0,10159,MN,24329,1827,2.9072063388265867,374191,20260331,8.986777957853507,26705,0.05,83310,19.51414219047902,0,0,83310,86485,91.15,FDIC,3.42,0,0,79,0.05,471002,4320,10.646026980777151,0,429334,0,15.595617320684706,0,0,FIRST STATE BANK AND TRUST,0,376,91912,0,2472,432214,5000,0,38788,10159_20260331
2.904024327971941,556901,188,N,-41,1.16,10599,255,4.84,23,4978,0,97.52,42,2884,0.022844910555829368,0,472565,1.161904886351015,557388,20260331,4.84,4978,23.61547727473044,2223,184874,63.902837193795506,84.78205487021609,0.0213812521279575,6661,6.661037668726233,0.03976706652311037,0,0,114828,0,10160,MN,0,5182,0,52146,20260331,24.506766672101747,472250,-0.02,178055,0,0,108,70429,70433,71.2,OCC,2.9,0,107044,18,-0.02,782851,2348,0.6358809019851798,108,557388,107626,35.9358402998262,0.02,0,VERSABANK USA NATIONAL ASSOCIATION,0.03257324829373661,2884,0,0,10,597977,500264,0,184874,10160_20260331
4.554302268556203,77873,1236,NM,0,1.82,1376,29957,16.84,-7,7982,3.4515209125475286,90.92,48031,915,1.776416539050536,-13,83654,1.8233512001864367,92226,20260331,16.84,7982,11.084600760456274,489,11661,3.887832699619772,90.70544098193568,-0.0337030639696191,14515,80.07984790874525,1.456001884792084,0,1156,10269,0,10162,MN,3631,250,0,84244,20260331,11.373178801540158,4720,0,6970,2.571292775665399,1010,1508,6912,7007,87.67,FDIC,4.55,0,0,14,0,105200,599,7.58745247148289,352,92226,0,0,-0.03,1156,FIRST STATE BANK MINNESOTA,28.476235741444867,915,2705,0,27,93539,4090,733,11661,10162_20260331
4.3373911267314815,176321,2322,NM,45,2.33,3179,24,21.74,37,12645,7.039429811707039,95.91,161439,219,0.13052764812910372,0,174652,2.32532274761094,209683,20260331,21.74,12645,10.425984683410427,1359,24546,0,83.29335234616063,0.08415809211330635,33934,83.69246191028368,1.3120571383367048,4689,0,32710,0,10163,MN,16573,737,1.9916663481019916,197038,20260331,10.49859520757824,12911,0.08,26224,13.263758808313264,0,231,26224,26415,89.06,FDIC,4.34,0,0,25,0.08,235431,1092,5.3710004205053705,231,209683,0,16.07350421205258,0.08,0,SECURITY STATE BANK OF MARINE,0.010194069600010194,219,31227,0,191,210885,0,0,24546,10163_20260331
