CERT,label,NAME,CITY,PSTALP,fail_date,QBFASSET,region,size_bucket,n_filings
13693,"Corus Bank, N.a. (IL 2009)","CORUS BANK, N.A.",CHICAGO,IL,2009-09-11,7003321,Midwest,$1B to $10B,20
22868,Venture Bank (WA 2009),VENTURE BANK,LACEY,WA,2009-09-11,968385,West,$100M to $1B,20
10100,Irwin Union Bank and Trust Company (IN 2009),IRWIN UNION BANK AND TRUST COMPANY,COLUMBUS,IN,2009-09-18,2839747,Midwest,$1B to $10B,20
57068,"Irwin Union Bank, Fsb (KY 2009)","IRWIN UNION BANK, FSB",LOUISVILLE,KY,2009-09-18,518151,South,$100M to $1B,20
57151,Georgian Bank (GA 2009),GEORGIAN BANK,ATLANTA,GA,2009-09-25,2230230,South,$1B to $10B,20
11416,Jennings State Bank (MN 2009),JENNINGS STATE BANK,SPRING GROVE,MN,2009-10-02,52347,Midwest,Under $100M,20
57263,Southern Colorado National Bank (CO 2009),SOUTHERN COLORADO NATIONAL BANK,PUEBLO,CO,2009-10-02,37142,West,Under $100M,20
34824,Warren Bank (MI 2009),WARREN BANK,WARREN,MI,2009-10-02,504816,Midwest,$100M to $1B,20
23266,San Joaquin Bank (CA 2009),SAN JOAQUIN BANK,BAKERSFIELD,CA,2009-10-16,766359,West,$100M to $1B,20
57794,American United Bank (GA 2009),AMERICAN UNITED BANK,LAWRENCEVILLE,GA,2009-10-23,110094,South,$100M to $1B,20
18321,Bank of Elmwood (WI 2009),BANK OF ELMWOOD,RACINE,WI,2009-10-23,327444,Midwest,$100M to $1B,20
35038,First Dupage Bank (IL 2009),FIRST DUPAGE BANK,WESTMONT,IL,2009-10-23,262093,Midwest,$100M to $1B,20
35044,Flagship National Bank (FL 2009),FLAGSHIP NATIONAL BANK,BRADENTON,FL,2009-10-23,177563,South,$100M to $1B,20
58336,Hillcrest Bank Florida (FL 2009),HILLCREST BANK FLORIDA,NAPLES,FL,2009-10-23,82774,South,Under $100M,13
57959,Partners Bank (FL 2009),PARTNERS BANK,NAPLES,FL,2009-10-23,65498,South,Under $100M,17
57525,Riverview Community Bank (MN 2009),RIVERVIEW COMMUNITY BANK,OSTEGO,MN,2009-10-23,99057,Midwest,Under $100M,20
32218,"Bank Usa, Na (AZ 2009)","BANK USA, NA",PHOENIX,AZ,2009-10-30,213205,West,$100M to $1B,20
34659,California National Bank (CA 2009),CALIFORNIA NATIONAL BANK,LOS ANGELES,CA,2009-10-30,7781100,West,$1B to $10B,20
25222,Citizens National Bank (TX 2009),CITIZENS NATIONAL BANK,TEAGUE,TX,2009-10-30,118236,South,$100M to $1B,20
35291,Community Bank of Lemont (IL 2009),COMMUNITY BANK OF LEMONT,LEMONT,IL,2009-10-30,81843,Midwest,Under $100M,20
33782,Madisonville State Bank (TX 2009),MADISONVILLE STATE BANK,MADISONVILLE,TX,2009-10-30,256330,South,$100M to $1B,20
18776,North Houston Bank (TX 2009),NORTH HOUSTON BANK,HOUSTON,TX,2009-10-30,325474,South,$100M to $1B,20
30006,Pacific National Bank (CA 2009),PACIFIC NATIONAL BANK,SAN FRANCISCO,CA,2009-10-30,2319263,West,$1B to $10B,20
11677,Park National Bank (IL 2009),PARK NATIONAL BANK,CHICAGO,IL,2009-10-30,4680881,Midwest,$1B to $10B,20
23594,San Diego National Bank (CA 2009),SAN DIEGO NATIONAL BANK,SAN DIEGO,CA,2009-10-30,3594544,West,$1B to $10B,20
19450,Gateway Bank of St Louis (MO 2009),GATEWAY BANK OF ST LOUIS,ST LOUIS,MO,2009-11-06,26882,Midwest,Under $100M,20
30329,Home Federal Savings Bank (MI 2009),HOME FEDERAL SAVINGS BANK,DETROIT,MI,2009-11-06,12994,Midwest,Under $100M,20
35074,Prosperan Bank (MN 2009),PROSPERAN BANK,OAKDALE,MN,2009-11-06,197442,Midwest,$100M to $1B,20
