CERT,NAME,CITY,STALP,ASSET
34699,Metropolitan Commercial Bank,New York,NY,8843485
18297,Southside Bank,Tyler,TX,8797882
26342,"RBC Bank, (Georgia) National Association",Atlanta,GA,8785816
58410,Cross River Bank,Fort Lee,NJ,8708837
609,Tompkins Community Bank,Ithaca,NY,8696575
23296,Salem Five Cents Savings Bank,Salem,MA,8568434
4767,"Sunflower Bank, National Association",Dallas,TX,8553297
13876,CNB Bank,Clearfield,PA,8496254
29012,Heritage Bank,Olympia,WA,8492771
5633,First Security Bank,Searcy,AR,8404781
17393,German American Bank,Jasper,IN,8371107
26312,"First American Trust, FSB",Santa Ana,CA,8323217
5903,BankPlus,Belzoni,MS,8279783
57614,Forbright Bank,Potomac,MD,8250749
3657,First American Bank,Elk Grove Village,IL,8221637
3705,"First Mid Bank & Trust, National Association",Mattoon,IL,8200993
7759,Univest  Bank and Trust Co.,Souderton,PA,8108083
11578,Burke & Herbert Bank & Trust Company,Alexandria,VA,7912763
57903,Poppy Bank,Santa Rosa,CA,7796215
24170,Hanmi Bank,Los Angeles,CA,7789627
27499,Comenity Bank,Wilmington,DE,7766339
18618,SMBC MANUBANK,Los Angeles,CA,7728868
11035,Peapack Private Bank & Trust,Bedminster,NJ,7690114
16191,Stockman Bank of Montana,Miles City,MT,7678230
33539,Preferred Bank,Los Angeles,CA,7655086
25858,Equity Bank,Andover,KS,7653639
28765,Kearny Bank,Kearny,NJ,7591561
16980,Bank of Colorado,Fort Collins,CO,7560233
16026,Ridgewood Savings Bank,Ridgewood,NY,7540183
24156,Ocean Bank,Miami,FL,7534738
17308,Central Pacific Bank,Honolulu,HI,7489639
953,Bankers Trust Company,Des Moines,IA,7469647
18408,Bangor Savings Bank,Bangor,ME,7422800
34953,Northpointe Bank,Grand Rapids,MI,7395660
23627,Republic Bank & Trust Company,Louisville,KY,7248366
6540,The Farmers National Bank of Canfield,Canfield,OH,7215780
33648,Bank of India,New York,NY,7183013
26483,Needham Bank,Needham,MA,7174892
30776,"Pathward, National Association",Sioux Falls,SD,7113101
13102,Lake City Bank,Warsaw,IN,7078433
20296,Johnson Bank,Racine,WI,7008117
4255,The Camden National Bank,Camden,ME,6951638
9889,Mid Penn Bank,Millersburg,PA,6938525
17870,Cambridge Savings Bank,Cambridge,MA,6912673
23498,"TBK BANK, SSB",Dallas,TX,6873141
3603,Old Second National Bank,Aurora,IL,6846609
33661,"Mizrahi Tefahot Bank, Ltd.",Los Angeles,CA,6838922
57082,"Northbrook Bank and Trust Company, National Association",Northbrook,IL,6810323
23091,Alpine Bank,Glenwood Springs,CO,6785152
4799,"Intrust Bank, National Association",Wichita,KS,6783388
20369,Heartland Bank and Trust Company,Bloomington,IL,6769567
17438,First National Bank of America,East Lansing,MI,6762755
17735,City National Bank of West Virginia,Charleston,WV,6741168
2720,"Community Trust Bank, Inc.",Pikeville,KY,6698348
12229,First Bank,St. Louis,MO,6691682
58716,Third Coast Bank,Humble,TX,6575390
4360,Horizon Bank,Michigan City,IN,6540325
1040,Midland States Bank,Effingham,IL,6539611
31945,TrustCo Bank,Glenville,NY,6507414
33849,"Hinsdale Bank & Trust Company, National Association",Hinsdale,IL,6503041
23623,"The Washington Trust Company, of Westerly",Westerly,RI,6458703
34598,Mercantile Bank,Grand Rapids,MI,6356397
29566,"United Fidelity Bank, fsb",Evansville,IN,6332519
659,Five Star Bank,Rochester,NY,6255437
4832,"Shore United Bank, National Association",Easton,MD,6203118
90183,Middlesex Savings Bank,Natick,MA,6153688
9423,Choice Financial Group,Fargo,ND,6133303
4382,"First Financial Bank, National Association",Terre Haute,IN,6121994
5304,"Bank First, N.A.",Manitowoc,WI,6064567
10248,First International Bank & Trust,Watford City,ND,6047838
18983,River City Bank,Sacramento,CA,6047747
26962,Wilson Bank and Trust,Lebanon,TN,5989062
19222,Fremont Bank,Fremont,CA,5915963
58463,SmartBank,Pigeon Forge,TN,5900269
22653,Green Dot Bank DBA Bonneville Bank,Provo,UT,5867857
57083,Emigrant Bank,Miami,FL,5853462
1331,Farmers & Merchants Bank of Central California,Lodi,CA,5836466
3430,Westamerica Bank,San Rafael,CA,5827278
57815,Banesco USA,Miami,FL,5775714
15797,Broadway National Bank,San Antonio,TX,5740527
28710,Northfield Bank,Staten Island,NY,5735013
34294,CFG Bank,Lutherville,MD,5731399
29546,Great Southern Bank,Reeds Spring,MO,5690468
